Semana;Udemy;Coursera;EDX
14/01/2018;34;24;14
21/01/2018;33;22;13
28/01/2018;36;22;14
04/02/2018;34;20;14
11/02/2018;34;20;13
18/02/2018;36;21;14
25/02/2018;34;20;13
04/03/2018;33;20;12
11/03/2018;33;20;13
18/03/2018;36;18;13
25/03/2018;34;18;12
01/04/2018;35;19;13
08/04/2018;32;19;13
15/04/2018;35;18;12
22/04/2018;34;18;12
29/04/2018;34;17;12
06/05/2018;33;18;12
13/05/2018;37;20;12
20/05/2018;33;20;12
27/05/2018;34;20;12
03/06/2018;36;18;13
10/06/2018;35;17;12
17/06/2018;35;19;11
24/06/2018;35;18;13
01/07/2018;36;19;12
08/07/2018;37;18;12
15/07/2018;34;18;11
22/07/2018;35;19;12
29/07/2018;39;19;12
05/08/2018;36;18;12
12/08/2018;34;17;11
19/08/2018;36;17;12
26/08/2018;39;18;12
02/09/2018;35;18;12
09/09/2018;37;19;13
16/09/2018;36;18;12
23/09/2018;35;17;12
30/09/2018;35;17;12
07/10/2018;38;17;12
14/10/2018;35;17;12
21/10/2018;35;17;11
28/10/2018;33;16;11
04/11/2018;32;15;10
11/11/2018;40;17;11
18/11/2018;53;16;10
25/11/2018;56;16;11
02/12/2018;35;16;11
09/12/2018;32;15;10
16/12/2018;34;15;9
23/12/2018;33;14;8
30/12/2018;37;16;9
06/01/2019;52;18;12
13/01/2019;39;18;10
20/01/2019;38;17;10
27/01/2019;43;18;11
03/02/2019;41;18;11
10/02/2019;37;19;11
17/02/2019;37;18;10
24/02/2019;35;17;9
03/03/2019;34;16;10
10/03/2019;34;17;10
17/03/2019;37;17;10
24/03/2019;36;19;10
31/03/2019;36;18;10
07/04/2019;34;16;10
14/04/2019;33;16;9
21/04/2019;35;17;9
28/04/2019;32;16;9
05/05/2019;33;17;10
12/05/2019;38;18;10
19/05/2019;39;19;10
26/05/2019;41;19;10
02/06/2019;42;19;11
09/06/2019;51;20;11
16/06/2019;50;21;11
23/06/2019;43;21;12
30/06/2019;44;20;11
07/07/2019;46;20;11
14/07/2019;45;20;11
21/07/2019;45;20;11
28/07/2019;47;21;11
04/08/2019;46;19;11
11/08/2019;44;20;10
18/08/2019;53;21;12
25/08/2019;57;22;11
01/09/2019;49;20;11
08/09/2019;49;21;12
15/09/2019;51;22;11
22/09/2019;53;21;12
29/09/2019;48;21;11
06/10/2019;50;21;11
13/10/2019;48;20;12
20/10/2019;48;19;10
27/10/2019;43;18;10
03/11/2019;52;19;10
10/11/2019;45;18;10
17/11/2019;51;19;9
24/11/2019;67;18;9
01/12/2019;64;18;10
08/12/2019;51;18;9
15/12/2019;53;19;10
22/12/2019;47;17;9
29/12/2019;54;19;9
05/01/2020;70;21;11
12/01/2020;58;21;10
19/01/2020;55;22;11
26/01/2020;58;21;11
02/02/2020;56;23;11
09/02/2020;63;21;11
16/02/2020;61;22;12
23/02/2020;57;21;10
01/03/2020;58;20;11
08/03/2020;51;21;10
15/03/2020;79;35;14
22/03/2020;92;51;18
29/03/2020;98;57;20
05/04/2020;96;65;21
12/04/2020;93;59;22
19/04/2020;87;60;25
26/04/2020;85;61;22
03/05/2020;86;62;21
10/05/2020;92;60;18
17/05/2020;83;58;18
24/05/2020;75;59;18
31/05/2020;75;58;17
07/06/2020;74;58;16
14/06/2020;71;57;17
21/06/2020;68;53;17
28/06/2020;74;56;17
05/07/2020;76;54;16
12/07/2020;74;63;15
19/07/2020;70;57;15
26/07/2020;69;54;15
02/08/2020;68;50;13
09/08/2020;65;54;13
16/08/2020;66;45;13
23/08/2020;72;47;13
30/08/2020;63;44;13
06/09/2020;63;46;12
